Value;Ecoinvent_region_shortname;Ecoinvent_region_id;Ecoinvent_region_uuid;Characterization_factor_2;Characterization_factor_5;Characterization_factor_8;Characterization_factor_11;Characterization_factor_14;Characterization_factor_17;Characterization_factor_20;Characterization_factor_23;Characterization_factor_26;Characterization_factor_29;Characterization_factor_32;Characterization_factor_35;Characterization_factor_38;Characterization_factor_41;Characterization_factor_44;Characterization_factor_47
Substance;N/A;N/A;N/A;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3
Height_class;N/A;N/A;N/A;Ground_level;Ground_level;Ground_level;Ground_level;Low_stack;Low_stack;Low_stack;Low_stack;High_stack;High_stack;High_stack;High_stack;Very_high_stack;Very_high_stack;Very_high_stack;Very_high_stack
Month;N/A;N/A;N/A;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average
Time_of_day;N/A;N/A;N/A;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average
Effect_model;N/A;N/A;N/A;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average
Unit;N/A;N/A;N/A;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg
Region88;US-GA;383;c59de648-8f45-40a3-a479-191e3f558996;3.79E-04;3.05E-05;1.91E-05;1.36E-04;2.39E-04;2.05E-05;1.50E-05;6.26E-05;6.04E-05;7.23E-06;7.87E-06;1.72E-05;3.38E-05;5.19E-06;4.85E-06;5.04E-06
Region89;US-HI;384;44528d9e-bc8d-4c2f-a949-c2c956ddce9c;2.97E-05;2.04E-06;2.77E-06;1.93E-05;1.78E-05;1.67E-06;1.58E-06;6.35E-06;6.22E-06;1.36E-06;6.76E-07;3.13E-06;5.05E-06;1.36E-06;4.43E-07;2.65E-06
Region90;US-ID;385;78a0e465-7d36-4e37-a266-79acaa4a681f;4.11E-05;3.89E-06;2.55E-06;1.92E-05;2.72E-05;2.96E-06;2.36E-06;1.07E-05;1.05E-05;1.86E-06;1.49E-06;4.85E-06;7.81E-06;1.70E-06;1.03E-06;3.12E-06
Region91;US-IL;386;21b47bba-7f1b-4c4c-ac3e-75cc1ad33231;0.000341583;3.09E-05;2.33E-05;0.000204767;0.000222807;1.93E-05;1.88E-05;0.000102976;7.46E-05;7.55E-06;1.19E-05;2.91E-05;4.54E-05;5.40E-06;7.62E-06;6.97E-06
Region92;US-IA;388;d38650a8-8c23-4941-9292-f9d7a4dce29b;1.16E-04;1.10E-05;7.49E-06;6.45E-05;7.69E-05;7.44E-06;6.44E-06;3.77E-05;2.75E-05;3.59E-06;4.60E-06;1.32E-05;1.82E-05;2.81E-06;3.30E-06;4.49E-06
Region93;US-KY;390;761f191a-af54-47b8-8e42-5bed90017b8d;0.000257132;2.41E-05;1.58E-05;0.000127154;0.00017162;1.63E-05;1.28E-05;6.70E-05;5.10E-05;6.44E-06;8.10E-06;2.04E-05;3.05E-05;4.69E-06;5.40E-06;5.61E-06
Region94;BR-RJ;452;862723a2-2563-490a-9b7a-7206cb46fcb1;0.000961631;8.60E-05;9.88E-05;7.12E-04;0.000639107;5.30E-05;7.04E-05;2.86E-04;1.71E-04;1.91E-05;3.66E-05;6.47E-05;9.49E-05;1.28E-05;1.80E-05;1.13E-05
Region95;BR-RO;453;d9497730-f613-4d31-aab2-1d82add2d1bc;4.20E-05;3.87E-06;2.86E-06;1.82E-05;2.72E-05;3.06E-06;2.37E-06;8.66E-06;7.27E-06;1.71E-06;1.29E-06;3.76E-06;5.18E-06;1.57E-06;8.52E-07;2.57E-06
Region96;BR-RR;454;2a7e9ed2-4de5-4b28-9b4e-b12c50a1ed53;1.13E-05;1.10E-06;6.68E-07;4.60E-06;6.45E-06;1.06E-06;5.54E-07;2.70E-06;3.59E-06;1.10E-06;3.95E-07;2.30E-06;3.39E-06;1.15E-06;3.32E-07;2.32E-06
Region97;US-NY;405;1d8c3d96-7a65-4a30-8032-9e8e11f63e7c;4.27E-04;4.24E-05;3.01E-05;2.90E-04;2.80E-04;2.76E-05;2.42E-05;1.53E-04;9.39E-05;1.06E-05;1.60E-05;4.42E-05;5.67E-05;7.34E-06;9.71E-06;9.47E-06
Region98;US-NC;406;bf5150ab-4ff1-479e-91ae-b88a1c2519a7;3.92E-04;2.96E-05;2.06E-05;1.57E-04;2.41E-04;1.95E-05;1.58E-05;7.21E-05;6.24E-05;6.97E-06;8.47E-06;2.00E-05;3.57E-05;5.04E-06;5.36E-06;5.49E-06
Region99;VU;144;10cf3776-7d7e-11de-9ae2-0019e336be3a;8.21E-06;1.01E-06;7.01E-07;4.53E-06;6.07E-06;1.05E-06;5.05E-07;2.43E-06;3.74E-06;1.14E-06;3.32E-07;2.30E-06;3.62E-06;1.19E-06;2.99E-07;2.40E-06
Region100;US-SC;413;2d9cae4c-ebc2-4f5f-8ba1-0070559cb32a;0.000393462;3.22E-05;1.88E-05;0.000139076;0.000249854;2.19E-05;1.48E-05;6.71E-05;6.35E-05;7.82E-06;8.29E-06;1.92E-05;3.57E-05;5.58E-06;5.09E-06;5.48E-06
Region101;US-OR;410;4324911f-22e8-4e7f-ae3a-c7f95ecd13a2;6.81E-05;6.91E-06;4.52E-06;3.55E-05;4.58E-05;4.91E-06;3.75E-06;1.80E-05;1.55E-05;2.48E-06;2.36E-06;6.63E-06;1.05E-05;2.10E-06;1.65E-06;3.37E-06
Region102;BB;6;09d2df90-7d7e-11de-9ae2-0019e336be3a;2.15E-05;1.84E-06;2.28E-06;1.59E-05;1.41E-05;1.52E-06;1.11E-06;5.04E-06;6.05E-06;1.33E-06;5.47E-07;2.94E-06;4.99E-06;1.35E-06;4.13E-07;2.66E-06
Region103;BE;8;0ff33cbc-7d7e-11de-9ae2-0019e336be3a;0.0012983;1.51E-04;1.33E-04;0.001281973;0.000885318;9.57E-05;1.01E-04;0.00059201;2.97E-04;3.57E-05;6.10E-05;1.48E-04;1.83E-04;2.40E-05;4.11E-05;2.62E-05
Region104;BJ;9;0a13f5c0-7d7e-11de-9ae2-0019e336be3a;0.00050999;3.88E-05;1.76E-05;0.00012578;0.000316801;2.61E-05;1.35E-05;6.07E-05;7.95E-05;9.39E-06;7.70E-06;1.73E-05;4.35E-05;6.52E-06;4.92E-06;4.85E-06
Region105;BY;7;0f405034-7d7e-11de-9ae2-0019e336be3a;0.000220846;2.46E-05;2.02E-05;1.58E-04;1.43E-04;1.61E-05;1.72E-05;7.99E-05;4.43E-05;6.18E-06;1.06E-05;2.22E-05;2.72E-05;4.49E-06;7.27E-06;5.80E-06
Region106;US-TX;416;cc63eb09-90af-4ab4-b81c-0c3c7dec25d0;1.67E-04;1.27E-05;6.13E-06;4.87E-05;1.04E-04;8.23E-06;4.66E-06;2.40E-05;3.40E-05;3.72E-06;2.86E-06;8.19E-06;2.12E-05;2.90E-06;1.92E-06;3.67E-06
Region107;US-VA;419;61afcbeb-199e-45b6-9431-a88d74cdc275;0.00039983;3.78E-05;2.46E-05;0.000198837;0.00027042;2.51E-05;1.92E-05;0.000100428;8.05E-05;9.46E-06;1.21E-05;2.95E-05;4.69E-05;6.49E-06;7.46E-06;7.09E-06
Region108;US-WA;420;152b7aad-0b95-4317-be14-c8513a2dff8c;0.000179821;1.66E-05;1.26E-05;0.000101943;0.000112947;1.10E-05;1.05E-05;5.02E-05;3.34E-05;4.31E-06;6.03E-06;1.43E-05;2.08E-05;3.32E-06;3.99E-06;4.64E-06
Region109;US-WV;421;39f4e9cc-478c-4fc8-847e-d219f7f9f23e;0.000223101;2.70E-05;1.76E-05;0.000148523;0.000158705;1.84E-05;1.48E-05;8.86E-05;5.54E-05;7.83E-06;1.08E-05;2.82E-05;3.42E-05;5.60E-06;6.97E-06;6.85E-06
Region110;US-WI;422;60764ee9-9608-433e-a86d-96e993703bc7;0.000202651;2.01E-05;1.53E-05;0.000130344;0.000134366;1.31E-05;1.30E-05;7.19E-05;4.37E-05;5.35E-06;8.42E-06;2.13E-05;2.71E-05;3.96E-06;5.80E-06;5.75E-06
Region111;IO;14;10c45112-7d7e-11de-9ae2-0019e336be3a;2.23E-06;7.11E-07;1.25E-07;1.13E-06;2.64E-06;8.62E-07;1.69E-07;1.47E-06;3.10E-06;1.08E-06;2.26E-07;2.12E-06;3.27E-06;1.16E-06;2.48E-07;2.37E-06
Region112;BR-AP;434;744e0bff-1149-4c95-bea7-74792bc71a21;7.58E-06;1.22E-06;9.54E-07;6.86E-06;6.05E-06;1.16E-06;7.96E-07;3.95E-06;3.50E-06;1.11E-06;5.39E-07;2.50E-06;3.23E-06;1.14E-06;4.09E-07;2.27E-06
Region113;BR-AM;435;12e2f855-d67d-492c-b59d-12205eeb79ea;1.85E-05;2.35E-06;2.12E-06;1.28E-05;1.41E-05;2.14E-06;1.91E-06;6.67E-06;4.39E-06;1.31E-06;1.15E-06;3.18E-06;3.36E-06;1.25E-06;7.06E-07;2.22E-06
Region114;BR-SP;457;a7ba1868-375a-4d62-9048-bdf2136447c4;6.50E-04;5.90E-05;6.92E-05;5.12E-04;4.07E-04;3.84E-05;5.14E-05;2.14E-04;1.06E-04;1.35E-05;2.67E-05;4.87E-05;6.07E-05;9.47E-06;1.46E-05;9.29E-06
Region115;BR-TO;458;54e71d4b-1d1f-473d-91db-15d40c496a6d;3.51E-05;3.87E-06;3.60E-06;2.32E-05;2.37E-05;3.03E-06;2.78E-06;1.16E-05;8.02E-06;1.83E-06;1.68E-06;4.56E-06;5.85E-06;1.66E-06;1.02E-06;2.73E-06
Region116;IN-AN;459;7661383e-998b-4738-b8dc-9e1e60070c8a;5.30E-05;2.59E-06;2.47E-06;1.29E-05;2.79E-05;1.82E-06;1.42E-06;4.66E-06;6.84E-06;1.34E-06;6.22E-07;2.72E-06;5.22E-06;1.31E-06;4.20E-07;2.49E-06
Region117;IN-AP;460;888f6bc1-22f6-486b-b2f3-814672df6930;1.24E-03;8.34E-05;1.99E-05;1.42E-04;7.74E-04;5.41E-05;1.54E-05;6.71E-05;1.85E-04;1.74E-05;8.08E-06;1.84E-05;9.77E-05;1.18E-05;5.62E-06;5.13E-06
Region118;IN-AR;461;28388907-7605-469a-b28d-cdc8f963b28b;3.95E-04;4.24E-05;1.23E-05;6.71E-05;2.99E-04;3.50E-05;1.20E-05;4.39E-05;5.39E-05;1.10E-05;8.22E-06;1.66E-05;2.55E-05;7.97E-06;5.60E-06;5.17E-06
Region119;IN-AS;462;d0145549-5ad2-4cc6-8e5b-c6ed6223d2db;0.001870097;1.32E-04;5.70E-05;0.000256573;0.00112236;9.60E-05;4.26E-05;0.000109129;1.68E-04;2.72E-05;1.79E-05;3.08E-05;7.77E-05;1.93E-05;1.33E-05;7.29E-06
Region120;IN-BR;463;5ba6d534-2083-4167-975d-84579c9e5202;0.00366558;2.66E-04;5.97E-05;3.12E-04;0.002381836;1.90E-04;5.10E-05;1.43E-04;4.23E-04;5.34E-05;2.41E-05;3.92E-05;1.98E-04;3.62E-05;2.26E-05;9.03E-06
Region121;IN-CT;465;89f88c37-befd-49fa-92ad-35875a6709eb;0.000894688;6.73E-05;1.76E-05;0.000103947;0.000576635;4.81E-05;1.35E-05;5.16E-05;1.26E-04;1.57E-05;7.70E-06;1.68E-05;6.24E-05;1.07E-05;5.56E-06;5.03E-06
Region122;IN-GJ;470;0d325613-94aa-4a65-8014-d3f6ead19eb3;0.001199942;7.40E-05;1.04E-05;7.91E-05;7.34E-04;4.71E-05;7.73E-06;3.61E-05;1.89E-04;1.52E-05;4.30E-06;1.16E-05;1.03E-04;9.87E-06;3.19E-06;4.17E-06
Region123;IN-HR;471;3f1442fa-0808-438c-a355-2a1e96f9adeb;2.48E-03;1.64E-04;2.34E-05;1.39E-04;1.58E-03;1.14E-04;2.04E-05;6.56E-05;3.33E-04;3.17E-05;1.21E-05;2.03E-05;1.65E-04;2.03E-05;1.41E-05;6.02E-06
Region124;IN-HP;472;763ca99d-f561-45ef-8d36-84cb877f9c08;6.01E-04;4.59E-05;2.18E-05;1.42E-04;3.90E-04;3.07E-05;2.25E-05;9.48E-05;1.09E-04;1.07E-05;1.72E-05;3.36E-05;6.28E-05;7.60E-06;1.41E-05;8.44E-06
Region125;IN-JK;473;d8cc1385-8b61-4509-8db0-d9cb5fa95725;0.000554146;4.00E-05;2.56E-05;0.000157383;0.000355762;2.68E-05;2.54E-05;9.29E-05;9.23E-05;9.07E-06;1.70E-05;3.16E-05;5.21E-05;6.38E-06;1.21E-05;7.84E-06
Region126;IN-JH;474;2221b78c-5a1c-454c-a637-744d54a0bbe9;2.13E-03;1.78E-04;4.31E-05;2.41E-04;1.40E-03;1.28E-04;3.52E-05;1.21E-04;2.89E-04;4.07E-05;2.01E-05;3.79E-05;1.36E-04;2.77E-05;1.58E-05;8.62E-06
Region127;IN-KA;475;c23d9dc6-d794-4775-8e92-ee830a084a7f;1.42E-03;9.95E-05;2.80E-05;2.10E-04;8.94E-04;6.36E-05;2.09E-05;9.73E-05;2.30E-04;2.12E-05;1.15E-05;2.74E-05;1.24E-04;1.43E-05;7.40E-06;6.48E-06
Region128;IN-KL;476;518f1827-fe70-400e-b521-48f2f72fd777;0.002722506;1.55E-04;8.64E-05;0.00056778;0.001526822;9.59E-05;5.80E-05;0.00021525;2.93E-04;2.96E-05;2.44E-05;5.17E-05;1.50E-04;1.98E-05;1.41E-05;1.00E-05
Region129;VG;15;14480004-7d7e-11de-9ae2-0019e336be3a;4.32E-05;3.02E-06;1.23E-06;8.50E-06;2.78E-05;2.46E-06;9.61E-07;4.87E-06;9.14E-06;1.70E-06;7.55E-07;3.28E-06;6.82E-06;1.70E-06;6.26E-07;2.83E-06
Region130;BN;16;0a4bff9c-7d7e-11de-9ae2-0019e336be3a;0.000132121;9.21E-06;1.40E-05;8.71E-05;9.09E-05;6.72E-06;1.00E-05;2.96E-05;1.84E-05;2.41E-06;3.71E-06;7.36E-06;9.90E-06;2.08E-06;1.67E-06;2.81E-06
Region131;BF;18;1420c7f0-7d7e-11de-9ae2-0019e336be3a;0.000399576;2.64E-05;1.14E-05;7.95E-05;0.00025155;1.79E-05;8.82E-06;3.79E-05;6.20E-05;6.27E-06;5.05E-06;1.11E-05;3.40E-05;4.46E-06;3.00E-06;3.94E-06
Region132;BG;17;0a46f524-7d7e-11de-9ae2-0019e336be3a;0.000413953;3.62E-05;1.95E-05;0.000146556;0.000259615;2.40E-05;1.69E-05;7.77E-05;7.26E-05;8.75E-06;1.08E-05;2.36E-05;4.16E-05;6.12E-06;7.41E-06;6.40E-06
Region133;CR;27;0cd04f34-7d7e-11de-9ae2-0019e336be3a;0.000143305;9.93E-06;1.12E-05;8.71E-05;8.77E-05;6.43E-06;7.82E-06;3.08E-05;2.03E-05;2.65E-06;3.07E-06;7.56E-06;1.23E-05;2.17E-06;1.68E-06;3.15E-06
Region134;KM;26;0cc14d18-7d7e-11de-9ae2-0019e336be3a;0.00013337;4.12E-06;5.51E-06;2.57E-05;4.93E-05;2.22E-06;2.81E-06;6.26E-06;8.03E-06;1.43E-06;7.65E-07;2.92E-06;5.97E-06;1.38E-06;5.33E-07;2.52E-06
Region135;DM;32;0d04edb6-7d7e-11de-9ae2-0019e336be3a;1.64E-05;1.90E-06;1.34E-06;9.83E-06;1.05E-05;1.53E-06;7.97E-07;4.15E-06;5.28E-06;1.33E-06;5.39E-07;2.76E-06;4.67E-06;1.36E-06;4.20E-07;2.62E-06
Region136;KZ;174;0f1fdb74-7d7e-11de-9ae2-0019e336be3a;3.80E-05;4.08E-06;2.53E-06;2.10E-05;2.65E-05;3.06E-06;2.22E-06;1.26E-05;1.14E-05;1.97E-06;1.57E-06;5.50E-06;8.57E-06;1.77E-06;1.10E-06;3.23E-06
Region137;IN-PB;486;83cdc953-e485-453b-a8f9-749f92aca417;0.002607554;1.80E-04;3.16E-05;0.000158644;0.001651839;1.28E-04;2.83E-05;7.75E-05;3.29E-04;3.60E-05;1.57E-05;2.27E-05;1.60E-04;2.38E-05;1.78E-05;6.65E-06
Region138;IN-RJ;487;4024933b-d7a2-4ebb-87dc-80460ff13c50;0.000992114;6.49E-05;8.84E-06;5.69E-05;0.000635386;4.43E-05;7.38E-06;3.03E-05;0.000159659;1.37E-05;4.43E-06;1.03E-05;8.49E-05;9.03E-06;4.11E-06;4.19E-06
Region139;IN-TN;489;eb2442cf-93eb-4784-99f9-7a0c97c3576f;0.002051243;1.35E-04;3.50E-05;0.000277979;0.001253452;8.45E-05;2.55E-05;0.000118306;0.000312385;2.82E-05;1.40E-05;3.14E-05;1.69E-04;1.88E-05;9.01E-06;7.00E-06
Region140;SL;116;12d57c60-7d7e-11de-9ae2-0019e336be3a;0.000383771;2.80E-05;2.27E-05;0.00013679;0.00023075;1.96E-05;1.74E-05;5.83E-05;4.24E-05;6.43E-06;7.85E-06;1.54E-05;2.22E-05;4.80E-06;4.72E-06;4.32E-06
Region141;VI;212;14599396-7d7e-11de-9ae2-0019e336be3a;5.72E-05;3.63E-06;2.61E-06;1.68E-05;2.98E-05;2.54E-06;1.75E-06;7.54E-06;9.25E-06;1.80E-06;1.16E-06;4.08E-06;7.03E-06;1.70E-06;7.15E-07;2.82E-06
Region142;KI;175;0f0882c6-7d7e-11de-9ae2-0019e336be3a;4.78E-06;8.08E-07;2.94E-07;1.98E-06;3.67E-06;9.11E-07;2.19E-07;1.60E-06;3.35E-06;1.11E-06;2.48E-07;2.16E-06;3.47E-06;1.18E-06;2.62E-07;2.42E-06
Region143;VA;145;15265aa2-7d7e-11de-9ae2-0019e336be3a;0.001257031;5.43E-05;9.88E-05;0.000616663;0.000707149;2.72E-05;4.66E-05;0.000149704;0.000205475;1.01E-05;1.78E-05;3.26E-05;1.24E-04;6.84E-06;8.91E-06;7.18E-06
Region144;UN-MELANESIA;289;13fd916a-e62c-11de-ba56-0019e336be3a;2.66E-05;2.62E-06;2.80E-06;2.42E-05;1.80E-05;2.10E-06;2.10E-06;1.10E-05;6.56E-06;1.45E-06;1.19E-06;4.27E-06;5.03E-06;1.37E-06;7.76E-07;2.57E-06
Region145;UN-MICRONESIA;290;26bf514e-e62c-11de-ba56-0019e336be3a;1.27E-05;1.09E-06;1.04E-06;6.93E-06;8.63E-06;1.08E-06;6.39E-07;2.58E-06;3.87E-06;1.13E-06;3.27E-07;2.26E-06;3.73E-06;1.19E-06;2.90E-07;2.41E-06
Region146;UN-POLYNESIA;291;4d22983c-e62c-11de-ba56-0019e336be3a;2.10E-05;1.29E-06;8.28E-07;7.10E-06;1.32E-05;1.22E-06;6.50E-07;2.79E-06;4.79E-06;1.20E-06;3.24E-07;2.37E-06;4.21E-06;1.25E-06;3.07E-07;2.49E-06
Region147;CN-CQ;496;8bc809e8-f246-46f7-bf1f-93e34e06befd;0.001322375;1.25E-04;1.17E-04;0.000814383;0.000855463;8.30E-05;8.79E-05;3.79E-04;2.25E-04;2.92E-05;5.13E-05;9.68E-05;1.25E-04;1.96E-05;3.15E-05;1.77E-05
Region148;CN-FJ;497;7ac3c1e7-0b7d-4ff9-9aa5-0d67d7da37fa;0.000960849;8.87E-05;7.72E-05;0.000596533;0.000616119;5.72E-05;5.78E-05;0.000285717;1.86E-04;2.23E-05;3.42E-05;7.52E-05;1.08E-04;1.51E-05;2.06E-05;1.43E-05
Region149;CN-GS;498;d5231e2f-479b-4f21-9173-35beeaf2406a;0.000251198;1.93E-05;1.63E-05;1.24E-04;0.00016108;1.25E-05;1.43E-05;6.79E-05;4.99E-05;5.12E-06;9.55E-06;2.21E-05;3.06E-05;3.78E-06;5.91E-06;6.08E-06
Region150;CN-GD;499;fbfd6cb0-56b1-4d0b-a13f-7f9f213f9afa;0.001694594;1.44E-04;1.24E-04;0.000916364;0.001069024;9.20E-05;9.02E-05;4.13E-04;3.02E-04;3.39E-05;5.08E-05;1.02E-04;1.71E-04;2.29E-05;2.90E-05;1.82E-05
Region151;CN-GX;500;c6b0afc2-8321-49aa-81f3-a793417eed91;0.000714497;6.45E-05;5.91E-05;0.000401399;0.000451939;4.26E-05;4.46E-05;1.89E-04;1.23E-04;1.62E-05;2.58E-05;4.97E-05;7.03E-05;1.13E-05;1.58E-05;9.99E-06
Region152;CN-GZ;501;4a743c1d-f819-4398-b389-784b84de386e;0.000849537;8.67E-05;8.77E-05;0.000620187;0.000557126;5.76E-05;6.65E-05;0.000296773;0.000161407;2.17E-05;3.93E-05;7.77E-05;9.43E-05;1.48E-05;2.22E-05;1.45E-05
Region153;PF;179;0d6d36be-7d7e-11de-9ae2-0019e336be3a;1.73E-05;1.22E-06;7.84E-07;7.69E-06;1.24E-05;1.23E-06;6.68E-07;2.68E-06;4.74E-06;1.21E-06;3.05E-07;2.38E-06;4.18E-06;1.26E-06;2.92E-07;2.53E-06
Region154;UN-EUROPE;300;f2d812a2-e631-11de-ba56-0019e336be3a;9.90E-05;1.07E-05;8.53E-06;7.29E-05;6.53E-05;7.12E-06;6.83E-06;3.57E-05;2.26E-05;3.32E-06;4.20E-06;1.10E-05;1.50E-05;2.65E-06;2.81E-06;4.07E-06
Region155;CN-HB;503;06bbed25-6ebe-48aa-9b92-300bddaeb2b7;0.00100965;7.51E-05;4.58E-05;0.000375263;0.000632092;4.80E-05;4.24E-05;0.00021577;1.85E-04;1.63E-05;2.75E-05;6.52E-05;1.06E-04;1.09E-05;2.03E-05;1.36E-05
Region156;CN-HL;504;0f7b1e31-0d0b-404a-994b-e3cd1b7586f0;0.000253867;2.02E-05;1.90E-05;0.000155353;0.0001558;1.29E-05;1.55E-05;7.78E-05;4.27E-05;4.91E-06;8.87E-06;2.14E-05;2.55E-05;3.65E-06;5.83E-06;5.60E-06
Region157;CN-HE;505;bf7827a3-16a7-4a38-ad02-527898a12a7f;0.001628448;1.24E-04;7.10E-05;5.28E-04;0.000991191;7.87E-05;5.86E-05;2.60E-04;2.52E-04;2.64E-05;3.55E-05;7.35E-05;1.38E-04;1.74E-05;2.58E-05;1.50E-05
Region158;CN-HU;506;2a19941e-dd11-44b4-919f-fb33c9150b71;9.35E-04;8.32E-05;6.39E-05;4.62E-04;6.03E-04;5.49E-05;4.95E-05;2.23E-04;1.60E-04;1.96E-05;2.96E-05;6.03E-05;8.89E-05;1.33E-05;1.90E-05;1.21E-05
Region159;CN-HN;507;9923dac7-3164-4e2f-8723-f343d998072d;0.000964123;8.64E-05;8.22E-05;5.81E-04;0.000598975;5.57E-05;6.23E-05;2.68E-04;1.60E-04;2.03E-05;3.44E-05;6.78E-05;9.04E-05;1.38E-05;2.04E-05;1.28E-05
Region160;CN-NM;508;da5d7825-8e05-4bad-b026-4204389cdef3;0.000125073;1.06E-05;7.08E-06;6.51E-05;8.43E-05;7.21E-06;6.82E-06;4.18E-05;3.05E-05;3.39E-06;5.11E-06;1.48E-05;1.99E-05;2.67E-06;3.51E-06;4.79E-06
Region161;CN-JS;509;dc5987d0-7a19-4843-82f1-15708e106edb;1.56E-03;1.30E-04;9.06E-05;7.40E-04;9.65E-04;8.06E-05;7.13E-05;3.32E-04;2.64E-04;2.79E-05;3.98E-05;8.58E-05;1.49E-04;1.87E-05;2.64E-05;1.65E-05
Region162;CI;30;0ec6dff6-7d7e-11de-9ae2-0019e336be3a;0.000388633;2.99E-05;1.77E-05;1.26E-04;0.0002384;2.06E-05;1.35E-05;5.69E-05;5.33E-05;7.44E-06;7.35E-06;1.58E-05;2.88E-05;5.32E-06;4.72E-06;4.55E-06
Region163;IN-Islands;309;4a07e727-a1e5-4079-8433-b1d2b5ed544c;5.30E-05;2.59E-06;2.47E-06;1.29E-05;2.79E-05;1.82E-06;1.42E-06;4.66E-06;6.84E-06;1.34E-06;6.22E-07;2.72E-06;5.22E-06;1.31E-06;4.20E-07;2.49E-06
Region164;GA;38;0d8399c2-7d7e-11de-9ae2-0019e336be3a;5.51E-05;5.37E-06;3.04E-06;1.72E-05;3.83E-05;4.41E-06;2.47E-06;8.82E-06;9.36E-06;2.17E-06;1.45E-06;4.15E-06;6.18E-06;1.90E-06;9.81E-07;2.69E-06
Region165;OM;94;0f980b80-7d7e-11de-9ae2-0019e336be3a;6.08E-05;4.81E-06;5.54E-07;4.48E-06;3.94E-05;3.48E-06;4.84E-07;3.19E-06;1.44E-05;2.13E-06;4.24E-07;2.88E-06;1.01E-05;1.89E-06;3.58E-07;2.83E-06
Region166;PK;95;11430eee-7d7e-11de-9ae2-0019e336be3a;0.000830046;5.25E-05;2.13E-05;0.000130912;0.000511199;3.35E-05;1.74E-05;6.46E-05;1.39E-04;1.12E-05;1.05E-05;1.91E-05;7.80E-05;7.54E-06;8.72E-06;5.67E-06
Region167;BALTSO;353;d4c8443a-d821-11de-b50d-0019e336be3a;1.66E-04;1.91E-05;1.58E-05;1.25E-04;1.07E-04;1.25E-05;1.29E-05;6.21E-05;3.41E-05;5.13E-06;7.95E-06;1.81E-05;2.15E-05;3.79E-06;5.19E-06;5.13E-06
Region168;CENTREL;354;fd95ae8c-7e2d-11de-9820-0019e336be3a;5.03E-04;5.37E-05;4.27E-05;3.58E-04;3.29E-04;3.43E-05;3.45E-05;1.73E-04;1.00E-04;1.24E-05;2.10E-05;4.59E-05;5.95E-05;8.46E-06;1.38E-05;9.69E-06
Region169;FSU;356;14a80a4c-7e2a-11de-9820-0019e336be3a;4.33E-05;4.90E-06;3.56E-06;2.98E-05;2.94E-05;3.56E-06;3.03E-06;1.60E-05;1.18E-05;2.10E-06;1.96E-06;6.09E-06;8.70E-06;1.86E-06;1.35E-06;3.29E-06
Region170;UN-WAFRICA;296;e89dc6f4-88d2-11de-99d3-0019e336be3a;2.85E-04;2.03E-05;1.04E-05;7.35E-05;1.76E-04;1.38E-05;7.84E-06;3.42E-05;4.50E-05;5.29E-06;4.38E-06;1.05E-05;2.57E-05;3.92E-06;2.80E-06;3.88E-06
Region171;NAFTA;355;047116e2-d932-11de-9627-0019e336be3a;7.51E-05;6.77E-06;3.85E-06;3.16E-05;4.94E-05;4.79E-06;3.14E-06;1.68E-05;1.69E-05;2.51E-06;2.03E-06;6.47E-06;1.14E-05;2.12E-06;1.41E-06;3.37E-06
Region172;ENTSO-E;352;f87aa98c-d820-11de-a736-0019e336be3a;0.000333233;3.39E-05;2.86E-05;0.000245344;2.16E-04;2.15E-05;2.22E-05;1.15E-04;6.82E-05;8.27E-06;1.33E-05;3.08E-05;4.17E-05;5.85E-06;8.75E-06;7.28E-06
Region173;LY;68;0f59bb46-7d7e-11de-9ae2-0019e336be3a;1.63E-05;1.71E-06;3.70E-07;3.30E-06;1.17E-05;1.56E-06;3.51E-07;2.63E-06;6.64E-06;1.46E-06;3.32E-07;2.73E-06;5.80E-06;1.46E-06;3.23E-07;2.82E-06
Region174;IAI Area, North America, without Quebec;267;4a81aea7-bf37-4c83-ac1e-9a2050f88920;6.36E-05;6.02E-06;3.58E-06;3.01E-05;4.24E-05;4.30E-06;2.96E-06;1.62E-05;1.54E-05;2.36E-06;1.95E-06;6.35E-06;1.06E-05;2.03E-06;1.37E-06;3.36E-06
Region175;IN-Southern grid;306;8a80d1d2-de76-44e0-a3d3-46b98c053ca1;1.54E-03;1.03E-04;2.92E-05;2.14E-04;9.50E-04;6.55E-05;2.15E-05;9.49E-05;2.31E-04;2.14E-05;1.12E-05;2.56E-05;1.23E-04;1.44E-05;7.32E-06;6.19E-06
