Value;Ecoinvent_region_shortname;Ecoinvent_region_id;Ecoinvent_region_uuid;Characterization_factor_2;Characterization_factor_5;Characterization_factor_8;Characterization_factor_11;Characterization_factor_14;Characterization_factor_17;Characterization_factor_20;Characterization_factor_23;Characterization_factor_26;Characterization_factor_29;Characterization_factor_32;Characterization_factor_35;Characterization_factor_38;Characterization_factor_41;Characterization_factor_44;Characterization_factor_47
Substance;N/A;N/A;N/A;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3
Height_class;N/A;N/A;N/A;Ground_level;Ground_level;Ground_level;Ground_level;Low_stack;Low_stack;Low_stack;Low_stack;High_stack;High_stack;High_stack;High_stack;Very_high_stack;Very_high_stack;Very_high_stack;Very_high_stack
Month;N/A;N/A;N/A;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average
Time_of_day;N/A;N/A;N/A;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average
Effect_model;N/A;N/A;N/A;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average
Unit;N/A;N/A;N/A;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg
Region485;UN-AMERICAS;302;2ea604e6-e5e8-11de-8102-0019e336be3a;7.36E-05;6.73E-06;4.51E-06;3.48E-05;4.83E-05;4.82E-06;3.57E-06;1.76E-05;1.59E-05;2.49E-06;2.20E-06;6.49E-06;1.07E-05;2.11E-06;1.44E-06;3.30E-06
Region486;UN-ASIA;299;d509536a-7e28-11de-9820-0019e336be3a;0.000437424;3.34E-05;2.12E-05;0.000151581;0.00027486;2.21E-05;1.65E-05;7.21E-05;7.20E-05;7.99E-06;9.46E-06;2.07E-05;4.10E-05;5.68E-06;6.13E-06;5.63E-06
Region487;UN-OCEANIA;301;9232290c-e62b-11de-ba56-0019e336be3a;9.66E-06;1.41E-06;5.95E-07;5.46E-06;7.72E-06;1.37E-06;5.07E-07;3.51E-06;5.31E-06;1.37E-06;4.19E-07;2.85E-06;4.91E-06;1.38E-06;3.66E-07;2.74E-06
Region488;TO;218;13335286-7d7e-11de-9ae2-0019e336be3a;1.40E-05;1.09E-06;5.33E-07;3.22E-06;8.39E-06;1.10E-06;3.78E-07;1.97E-06;4.21E-06;1.22E-06;2.80E-07;2.36E-06;4.13E-06;1.28E-06;2.85E-07;2.57E-06
Region489;TR;228;1347b0a0-7d7e-11de-9ae2-0019e336be3a;0.000452024;3.72E-05;2.57E-05;0.000186829;0.000283516;2.42E-05;2.04E-05;9.15E-05;7.78E-05;8.73E-06;1.22E-05;2.56E-05;4.54E-05;6.08E-06;7.39E-06;6.61E-06
Region490;TT;186;1317a572-7d7e-11de-9ae2-0019e336be3a;0.000133437;8.59E-06;1.20E-05;0.000107509;8.49E-05;5.46E-06;7.71E-06;3.24E-05;2.09E-05;2.55E-06;3.10E-06;8.42E-06;1.26E-05;2.14E-06;1.83E-06;3.32E-06
Region491;UN-SAMERICA;277;1ae80e7c-e5e3-11de-a739-0019e336be3a;9.15E-05;8.38E-06;6.87E-06;4.98E-05;5.97E-05;6.01E-06;5.28E-06;2.37E-05;1.76E-05;2.82E-06;3.09E-06;7.71E-06;1.12E-05;2.31E-06;1.87E-06;3.30E-06
Region492;US-ASCC;323;a9c3be27-affe-464c-8ebf-996d8ab6a958;9.34E-06;1.38E-06;8.40E-07;6.56E-06;7.05E-06;1.33E-06;7.14E-07;3.92E-06;4.85E-06;1.33E-06;4.88E-07;2.90E-06;4.56E-06;1.35E-06;4.02E-07;2.72E-06
Region493;Asia without China;346;b7ac8bd0-a9d4-4caf-a832-48a0f3660da7;0.000221443;1.67E-05;9.26E-06;6.47E-05;0.000139561;1.13E-05;7.15E-06;3.03E-05;3.69E-05;4.47E-06;4.02E-06;9.65E-06;2.17E-05;3.39E-06;2.69E-06;3.85E-06
Region494;Canada without Alberta;344;39c8f992-22b7-4d59-9be0-eb461b36df2f;1.15E-05;1.77E-06;8.66E-07;7.83E-06;9.05E-06;1.60E-06;7.82E-07;5.06E-06;5.93E-06;1.48E-06;6.24E-07;3.37E-06;5.34E-06;1.46E-06;5.05E-07;2.87E-06
Region495;CN-BJ;495;a7cf4239-43f5-4256-ae84-e94595cbaac6;0.001663828;9.52E-05;7.78E-05;0.000648771;0.001026365;5.79E-05;7.38E-05;0.000279203;0.000290022;1.72E-05;3.49E-05;6.69E-05;0.000153279;1.13E-05;2.43E-05;1.34E-05
Region496;CN-HA;502;dd10b4f5-3c51-4c62-9b32-a111e15e3e52;0.000717181;4.58E-05;5.06E-05;0.0003333;0.00041177;2.76E-05;3.46E-05;0.000120055;9.05E-05;9.19E-06;1.52E-05;2.69E-05;5.01E-05;6.50E-06;7.94E-06;5.94E-06
Region497;CN-SH;517;4a15b2ab-5593-48d7-a7b9-b1c07c5ca99b;0.0022396;0.000155704;0.000172298;0.001504164;0.00145842;9.19E-05;0.000110135;0.000512412;0.000464459;3.22E-05;5.45E-05;0.000112214;0.00026826;2.11E-05;2.69E-05;2.00E-05
Region498;CN-TJ;520;24c6336b-e160-4d2a-8d25-ac207a66f6c1;0.00187875;0.00011014;8.07E-05;0.000596205;0.001101319;6.46E-05;6.41E-05;0.000246513;0.00027628;1.91E-05;3.19E-05;6.57E-05;0.000154206;1.26E-05;2.27E-05;1.29E-05
Region499;CN-YN;523;f41e84aa-2c80-451e-a7ab-594acc1b096d;0.000536553;5.00E-05;5.12E-05;0.000369259;0.000346842;3.20E-05;3.73E-05;0.000172447;0.000102778;1.26E-05;2.15E-05;4.50E-05;6.07E-05;8.66E-06;1.09E-05;9.37E-06
Region500;CN-ZJ;524;a959ec4b-3db6-4b9f-9ea6-897fbcfdc610;0.001293399;0.000116411;0.000117091;0.000933035;0.000835779;7.43E-05;8.49E-05;0.000412305;0.000233036;2.69E-05;4.81E-05;0.00010237;0.000134192;1.83E-05;2.83E-05;1.82E-05
Region501;BR-South-eastern/Mid-western grid;485;7e6d7407-6a88-50d1-8f56-eb53f1c12102;0.00016744;1.70719E-05;1.6973E-05;0.000122351;0.000111491;1.16933E-05;1.29048E-05;5.66533E-05;4.91061E-06;3.23481E-05;7.54093E-06;1.53997E-05;1.94638E-05;3.70401E-06;N/A;4.38997E-06
Region502;CUSMA/T-MEC/USMCA;536;598a17a2-889f-4c84-a870-08fbf1f8917f;7.51733E-05;6.76994E-06;3.85267E-06;3.16575E-05;4.94406E-05;4.7904E-06;3.14428E-06;1.6775E-05;2.50716E-06;1.69398E-05;2.03372E-06;6.46895E-06;1.14071E-05;2.12168E-06;N/A;3.37177E-06
Region503;CN-NECG;526;f0894a96-367f-5327-bc91-e156fdb6a5c7;0.000351117;2.72229E-05;2.36982E-05;0.000200545;0.000217093;1.71809E-05;1.99153E-05;0.000103145;6.38225E-06;6.1417E-05;1.1732E-05;2.87772E-05;3.63426E-05;4.58389E-06;N/A;6.83764E-06
Region504;CN-ECGC;528;b6ec5424-a43b-5e34-a8ca-f35abb031049;0.001209172;0.000106008;8.43735E-05;0.000652051;0.000770393;6.87234E-05;6.41575E-05;0.000303591;2.471E-05;0.000210182;3.69522E-05;7.96738E-05;0.000119181;1.67326E-05;N/A;1.52036E-05
